iter_count,highest_fit,best_circuit,no_units,iter_max,best_count_lim,p_mutation,p_crossing,no_circuits,value_weight,waste_weight
265,24.8163,4 2 3 0 6 5 0 2 4 0 1 ,5,5000,200,0.001,0.9,100,100,500
269,24.8163,4 1 4 5 2 1 0 2 6 2 3 ,5,5000,200,0.001,0.9,100,100,500
205,15.0469,4 4 2 5 3 3 6 1 4 3 0 ,5,5000,200,0.001,0.9,100,100,500
233,24.8163,1 5 3 3 2 3 6 0 4 0 1 ,5,5000,200,0.001,0.9,100,100,500
268,24.8163,2 1 3 5 0 0 4 1 2 0 6 ,5,5000,200,0.001,0.9,100,100,500
302,21.5951,4 5 1 0 4 1 3 1 6 1 2 ,5,5000,200,0.001,0.9,100,100,500
370,16.7876,3 5 1 0 2 0 4 1 6 0 3 ,5,5000,200,0.001,0.9,100,100,500
227,24.8163,3 4 2 0 6 4 3 0 1 5 0 ,5,5000,200,0.005,0.9,100,100,500
331,24.8163,0 3 4 5 3 1 0 1 2 3 6 ,5,5000,200,0.005,0.9,100,100,500
299,24.8163,1 5 3 3 2 3 6 0 4 0 1 ,5,5000,200,0.005,0.9,100,100,500
264,24.8163,2 3 4 0 6 0 1 5 0 3 2 ,5,5000,200,0.005,0.9,100,100,500
232,24.8163,1 3 1 4 2 4 6 5 4 3 0 ,5,5000,200,0.005,0.9,100,100,500
204,24.8163,2 5 4 0 2 4 3 4 6 0 1 ,5,5000,200,0.005,0.9,100,100,500
319,16.7876,0 3 6 4 0 4 1 4 2 5 3 ,5,5000,200,0.005,0.9,100,100,500
228,24.8163,0 3 2 5 3 3 6 1 4 1 0 ,5,5000,200,0.005,0.9,100,100,500
223,21.5951,2 4 2 0 6 0 3 0 1 5 0 ,5,5000,200,0.005,0.9,100,100,500
283,24.8163,0 1 2 4 3 1 6 4 0 5 1 ,5,5000,200,0.005,0.9,100,100,500
240,24.8163,1 2 6 2 0 3 4 5 2 3 1 ,5,5000,200,0.01,0.9,100,100,500
331,24.8163,1 5 2 2 4 0 3 0 1 2 6 ,5,5000,200,0.01,0.9,100,100,500
208,16.8213,1 3 6 3 0 5 4 2 1 5 3 ,5,5000,200,0.01,0.9,100,100,500
306,13.1159,4 2 6 5 3 1 0 1 2 3 0 ,5,5000,200,0.01,0.9,100,100,500
257,24.8163,4 2 6 3 4 3 1 5 2 2 0 ,5,5000,200,0.01,0.9,100,100,500
654,24.8163,4 1 3 5 0 0 6 1 4 0 2 ,5,5000,200,0.01,0.9,100,100,500
207,17.1112,1 3 4 0 2 0 6 5 0 0 1 ,5,5000,200,0.01,0.9,100,100,500
354,24.8163,3 5 4 0 3 4 6 4 2 0 1 ,5,5000,200,0.01,0.9,100,100,500
340,24.8163,1 3 6 3 0 5 3 2 4 2 1 ,5,5000,200,0.01,0.9,100,100,500
217,15.0469,1 5 3 3 2 1 4 0 1 3 6 ,5,5000,200,0.01,0.9,100,100,500
445,24.8163,4 5 3 3 6 0 4 0 2 3 1 ,5,5000,200,0.025,0.9,100,100,500
209,24.8163,4 5 1 0 3 1 6 0 4 1 2 ,5,5000,200,0.025,0.9,100,100,500
339,24.8163,0 1 2 3 4 1 6 5 1 3 0 ,5,5000,200,0.025,0.9,100,100,500
447,24.8163,3 2 6 5 2 1 4 2 0 1 3 ,5,5000,200,0.025,0.9,100,100,500
396,21.5951,0 2 1 2 4 3 0 5 2 2 6 ,5,5000,200,0.025,0.9,100,100,500
234,24.8163,4 3 4 2 6 3 0 5 2 2 1 ,5,5000,200,0.025,0.9,100,100,500
271,24.8163,2 3 4 0 6 0 1 5 0 3 2 ,5,5000,200,0.025,0.9,100,100,500
329,24.8163,4 5 3 0 4 3 6 0 1 3 2 ,5,5000,200,0.025,0.9,100,100,500
265,21.5951,4 3 2 5 3 3 6 1 4 3 0 ,5,5000,200,0.025,0.9,100,100,500
202,21.5951,0 1 3 4 0 1 6 1 2 5 1 ,5,5000,200,0.025,0.9,100,100,500
219,24.8163,4 2 6 5 2 1 3 1 4 2 0 ,5,5000,200,0.05,0.9,100,100,500
322,24.8163,3 2 6 4 3 4 1 2 0 5 2 ,5,5000,200,0.05,0.9,100,100,500
227,24.8163,2 4 6 3 2 4 0 5 4 3 1 ,5,5000,200,0.05,0.9,100,100,500
227,24.8163,2 4 6 3 2 4 0 5 4 3 1 ,5,5000,200,0.05,0.9,100,100,500
332,24.8163,2 3 1 3 2 0 4 5 0 0 6 ,5,5000,200,0.05,0.9,100,100,500
236,24.8163,4 3 4 2 6 3 0 5 2 2 1 ,5,5000,200,0.05,0.9,100,100,500
245,24.8163,3 2 1 2 3 5 0 0 4 0 6 ,5,5000,200,0.05,0.9,100,100,500
217,21.5301,2 1 6 3 2 4 0 5 4 3 1 ,5,5000,200,0.05,0.9,100,100,500
228,24.8163,0 2 1 2 6 4 3 4 0 5 2 ,5,5000,200,0.05,0.9,100,100,500
220,24.8163,1 3 1 4 2 4 6 5 4 3 0 ,5,5000,200,0.05,0.9,100,100,500
404,24.8163,3 1 6 2 4 5 1 1 0 2 3 ,5,5000,200,0.1,0.9,100,100,500
345,24.8163,0 4 1 4 6 3 0 5 4 3 2 ,5,5000,200,0.1,0.9,100,100,500
242,24.8163,4 3 4 3 0 1 6 5 1 1 2 ,5,5000,200,0.1,0.9,100,100,500
230,24.8163,2 1 2 5 4 4 3 4 6 1 0 ,5,5000,200,0.1,0.9,100,100,500
236,24.8163,4 5 2 0 4 0 1 2 6 2 3 ,5,5000,200,0.1,0.9,100,100,500
230,24.8163,1 5 2 2 3 0 4 2 6 0 1 ,5,5000,200,0.1,0.9,100,100,500
239,24.8163,1 4 6 4 0 5 4 2 1 2 3 ,5,5000,200,0.1,0.9,100,100,500
226,24.8163,0 1 4 3 2 3 0 5 1 1 6 ,5,5000,200,0.1,0.9,100,100,500
341,24.8163,2 1 3 5 0 0 4 1 2 0 6 ,5,5000,200,0.1,0.9,100,100,500
211,24.8163,4 1 6 2 3 5 1 2 4 1 0 ,5,5000,200,0.1,0.9,100,100,500
373,24.8163,4 3 6 2 4 5 3 2 1 3 0 ,5,5000,200,0.25,0.9,100,100,500
272,24.8163,1 3 6 3 0 4 1 4 2 5 3 ,5,5000,200,0.25,0.9,100,100,500
230,24.8163,0 1 3 4 2 4 0 1 6 5 1 ,5,5000,200,0.25,0.9,100,100,500
450,24.8163,3 1 4 5 0 0 6 0 2 1 3 ,5,5000,200,0.25,0.9,100,100,500
226,24.8163,2 3 2 4 6 4 1 5 4 3 0 ,5,5000,200,0.25,0.9,100,100,500
286,24.8163,1 4 6 4 0 5 4 2 1 2 3 ,5,5000,200,0.25,0.9,100,100,500
373,24.8163,2 4 2 4 0 1 3 1 6 5 1 ,5,5000,200,0.25,0.9,100,100,500
209,21.5951,1 4 2 4 0 4 6 5 4 3 1 ,5,5000,200,0.25,0.9,100,100,500
210,24.8163,4 5 1 0 3 1 6 0 4 1 2 ,5,5000,200,0.25,0.9,100,100,500
254,24.8163,1 2 3 0 4 5 0 2 1 0 6 ,5,5000,200,0.25,0.9,100,100,500
216,24.8163,1 2 6 2 0 4 3 4 1 5 2 ,5,5000,200,0.5,0.9,100,100,500
412,21.5951,3 2 1 2 6 4 3 2 0 5 2 ,5,5000,200,0.5,0.9,100,100,500
628,24.8163,1 2 6 2 0 4 3 4 1 5 2 ,5,5000,200,0.5,0.9,100,100,500
262,21.5951,4 1 4 5 0 0 6 0 2 0 3 ,5,5000,200,0.5,0.9,100,100,500
203,21.5301,4 1 2 5 0 1 4 2 6 0 3 ,5,5000,200,0.5,0.9,100,100,500
527,21.5951,3 5 4 4 2 4 6 4 1 0 3 ,5,5000,200,0.5,0.9,100,100,500
458,21.5951,3 4 3 0 2 0 6 0 1 5 0 ,5,5000,200,0.5,0.9,100,100,500
413,21.5951,0 1 4 2 0 5 1 1 6 1 3 ,5,5000,200,0.5,0.9,100,100,500
410,24.8163,3 2 4 0 6 5 0 0 1 2 3 ,5,5000,200,0.5,0.9,100,100,500
393,21.5951,2 5 3 3 6 3 4 0 2 3 1 ,5,5000,200,0.5,0.9,100,100,500
203,24.8163,4 2 1 2 4 5 0 0 6 0 3 ,5,5000,200,0.01,0.9,100,100,500
327,24.8163,4 5 2 2 6 0 3 0 4 2 1 ,5,5000,200,0.01,0.9,100,100,500
219,24.8163,3 1 4 5 0 0 6 0 2 1 3 ,5,5000,200,0.01,0.9,100,100,500
244,24.8163,1 3 1 4 2 4 6 5 4 3 0 ,5,5000,200,0.01,0.9,100,100,500
276,24.8163,3 4 6 5 4 1 3 4 0 1 2 ,5,5000,200,0.01,0.9,100,100,500
207,15.7549,3 2 6 4 2 4 3 2 0 5 1 ,5,5000,200,0.01,0.9,100,100,500
207,15.7549,3 2 6 4 2 4 3 2 0 5 1 ,5,5000,200,0.01,0.9,100,100,500
500,24.8163,2 5 4 0 2 4 3 4 6 0 1 ,5,5000,200,0.01,0.9,100,100,500
289,21.5951,0 4 1 4 2 4 6 5 4 3 0 ,5,5000,200,0.01,0.9,100,100,500
295,24.8163,1 5 3 3 2 3 6 0 4 0 1 ,5,5000,200,0.01,0.9,100,100,500
200,19.3163,0 4 1 3 6 5 3 2 4 2 0 ,5,5000,200,0.01,0.9,200,100,500
207,24.8163,2 1 6 4 3 1 0 4 2 5 1 ,5,5000,200,0.01,0.9,200,100,500
202,16.8213,4 5 3 2 6 0 4 5 2 2 1 ,5,5000,200,0.01,0.9,200,100,500
204,18.3656,2 3 6 5 4 3 0 1 4 1 2 ,5,5000,200,0.01,0.9,200,100,500
385,21.5951,4 1 6 3 4 1 0 5 1 1 2 ,5,5000,200,0.01,0.9,200,100,500
225,24.8163,1 4 1 2 3 4 0 2 6 5 2 ,5,5000,200,0.01,0.9,200,100,500
265,24.8163,2 4 1 4 2 0 3 0 6 5 0 ,5,5000,200,0.01,0.9,200,100,500
217,24.8163,1 5 3 3 2 3 6 0 4 0 1 ,5,5000,200,0.01,0.9,200,100,500
229,24.8163,1 5 4 4 3 0 1 4 6 0 2 ,5,5000,200,0.01,0.9,200,100,500
241,18.3656,2 3 4 0 6 0 1 5 4 3 2 ,5,5000,200,0.01,0.9,200,100,500
207,24.8163,0 3 1 3 6 4 0 4 2 5 3 ,5,5000,200,0.01,0.9,300,100,500
213,24.8163,1 2 6 2 0 3 4 5 2 3 1 ,5,5000,200,0.01,0.9,300,100,500
205,24.8163,2 3 4 0 6 0 1 5 0 3 2 ,5,5000,200,0.01,0.9,300,100,500
235,21.5301,1 3 4 0 2 4 6 5 0 3 1 ,5,5000,200,0.01,0.9,300,100,500
210,19.3163,3 5 1 0 2 0 3 2 4 1 6 ,5,5000,200,0.01,0.9,300,100,500
204,24.8163,1 2 6 2 0 3 4 5 2 3 1 ,5,5000,200,0.01,0.9,300,100,500
254,21.5301,4 3 4 3 0 0 6 5 1 1 2 ,5,5000,200,0.01,0.9,300,100,500
256,24.8163,0 3 2 4 0 3 6 4 1 5 3 ,5,5000,200,0.01,0.9,300,100,500
205,21.5951,3 1 3 5 0 0 4 0 2 0 6 ,5,5000,200,0.01,0.9,300,100,500
213,24.8163,0 3 2 5 3 3 6 1 4 1 0 ,5,5000,200,0.01,0.9,300,100,500
298,21.5301,1 5 4 4 2 3 6 0 1 0 3 ,5,5000,200,0.01,0.9,400,100,500
204,21.5301,0 1 2 3 4 4 6 5 1 3 0 ,5,5000,200,0.01,0.9,400,100,500
329,24.8163,2 5 3 3 6 3 1 0 4 0 2 ,5,5000,200,0.01,0.9,400,100,500
204,19.3163,3 2 6 5 2 1 4 4 0 1 3 ,5,5000,200,0.01,0.9,400,100,500
208,21.5951,3 2 6 2 0 4 3 2 1 5 2 ,5,5000,200,0.01,0.9,400,100,500
207,24.8163,3 5 1 0 2 0 3 1 4 1 6 ,5,5000,200,0.01,0.9,400,100,500
203,24.8163,4 2 6 3 4 3 1 5 2 2 0 ,5,5000,200,0.01,0.9,400,100,500
207,21.5951,1 5 2 2 3 0 1 2 4 2 6 ,5,5000,200,0.01,0.9,400,100,500
214,21.5301,0 1 2 3 4 4 6 5 1 3 0 ,5,5000,200,0.01,0.9,400,100,500
260,24.8163,1 3 6 3 0 4 1 4 2 5 3 ,5,5000,200,0.01,0.9,400,100,500
201,21.5301,2 3 6 4 3 1 0 4 2 5 1 ,5,5000,200,0.01,0.9,500,100,500
221,24.8163,1 4 6 4 0 3 1 5 4 3 2 ,5,5000,200,0.01,0.9,500,100,500
202,24.8163,1 4 3 0 2 0 6 4 1 5 0 ,5,5000,200,0.01,0.9,500,100,500
208,24.8163,1 3 4 0 2 0 6 5 0 3 1 ,5,5000,200,0.01,0.9,500,100,500
229,24.8163,2 3 4 0 6 0 1 5 0 3 2 ,5,5000,200,0.01,0.9,500,100,500
209,21.5951,2 4 6 5 4 4 3 4 0 1 2 ,5,5000,200,0.01,0.9,500,100,500
246,24.8163,4 5 1 0 2 0 4 1 6 1 3 ,5,5000,200,0.01,0.9,500,100,500
209,24.8163,1 2 1 3 4 5 3 2 0 3 6 ,5,5000,200,0.01,0.9,500,100,500
214,24.8163,0 2 1 2 6 4 3 4 0 5 2 ,5,5000,200,0.01,0.9,500,100,500
269,24.8163,0 3 4 5 3 1 0 1 2 3 6 ,5,5000,200,0.01,0.9,500,100,500
